,PULocationID,DOLocationID,trip_distance,fare_amount,total_amount,duration,prediction
15825,75,48,4.6,21.5,31.3,31.666666666666668,20.494015437718325
35569,75,75,0.96,5.0,5.8,4.05,6.332847316022997
67977,188,55,7.66,27.06,30.11,28.0,21.22389997328861
21763,65,49,1.24,7.5,9.3,8.366666666666667,8.381503386054524
1033,41,42,0.9,6.0,6.8,5.183333333333334,7.135922418713946
44475,14,14,1.27,15.45,18.5,8.0,14.320767455968051
48105,116,250,7.28,23.55,26.6,18.0,19.35286292500915
16068,62,190,0.58,4.5,5.3,4.15,6.131677551439631
8852,74,239,3.02,14.5,21.05,21.283333333333335,14.803368487602935
52810,197,121,5.75,27.75,30.8,11.0,21.67870523997773
58824,56,24,11.53,51.55,54.6,35.0,38.06234053285289
1824,134,56,4.51,14.0,15.3,8.833333333333334,12.190481572964991
57446,89,130,12.02,46.88,49.93,42.0,34.874770712120444
2409,97,66,1.6,8.5,12.35,9.083333333333334,9.641794539660326
33398,43,43,1.12,6.0,10.55,5.333333333333333,8.476459330096834
65,129,129,0.43,4.0,5.3,3.5833333333333335,5.628226989181356
802,75,75,0.58,4.0,4.8,2.7333333333333334,5.6698796500936925
35805,74,75,0.57,4.5,5.3,3.7333333333333334,6.006068646877473
18039,7,193,0.79,6.0,7.8,8.35,7.746503334612622
